Year,ADM2_PCODE,ADM2_EN,N_t,RRUI,NDVI,precip_mm,temp_c,Livestock_units
2019,KAZ020013,Zhanybek District,9,0.252657273711365,0.3626260867388146,166.9531771037918,18.245522486670243,68.76
2020,KAZ020001,Akzhaik District,3,0,0.25363337589801443,104.1012482905715,18.675173825782124,170.58
2020,KAZ020002,Bokey Orda District,3,0.200035684998518,0.22399697129903545,116.00284618413822,19.383659404149483,115.6
2020,KAZ020005,Kaztal District,3,0.541595827631539,0.2434016438545913,123.76836991103826,18.50852381462108,172.48
2020,KAZ020012,Zhanakala District,3,0,0.23614708745919905,109.17275531810256,19.399090497605957,126.24
2020,KAZ020013,Zhanybek District,3,0.258368487369943,0.25892206199474194,140.2647479768127,18.461084449990015,71.92
2021,KAZ020001,Akzhaik District,4,0,0.28123798381186305,111.01431917222249,20.08692868201291,180.96
2021,KAZ020002,Bokey Orda District,4,0.544139698715598,0.2976081893962576,171.99823419819,19.704115131335065,122.14
2021,KAZ020005,Kaztal District,4,0.245916555358888,0.3480422589906507,173.59368838360427,19.13387299885805,177.76
2021,KAZ020012,Zhanakala District,4,0.0547991686775661,0.2780950875405463,125.07173473118054,19.99149715791711,131.72
2021,KAZ020013,Zhanybek District,4,0.155144577247948,0.35227375381931036,204.2755262162679,18.958604221237696,79.38
2022,KAZ020001,Akzhaik District,3,0,0.3446250586138217,131.14781293996086,18.63207972240665,201.58
2022,KAZ020002,Bokey Orda District,3,0.0956887560875232,0.2849644260541315,165.80874394980765,19.290804987857893,143.24
2022,KAZ020005,Kaztal District,3,0.342314461312909,0.3631907702206299,170.35237798115128,18.317092504474363,196.26
2022,KAZ020012,Zhanakala District,3,0,0.29546063773128156,142.96778397986412,19.327552450550733,145.24
2022,KAZ020013,Zhanybek District,3,0.561996782599568,0.38112691116002223,209.65615191739792,18.180748134677984,98.02
2023,KAZ020001,Akzhaik District,17,0,0.3251000012184523,159.98946034992852,19.01599017180845,193.16
2023,KAZ020002,Bokey Orda District,17,0.625603921149873,0.24648547569803575,162.77268704099572,19.507576693574045,130.04
2023,KAZ020005,Kaztal District,17,0.137530340155902,0.32236945754310375,190.86608488592813,18.44497113866896,192.62
2023,KAZ020012,Zhanakala District,17,0.0119136928523538,0.2832923821062671,170.42076515990948,19.556233526046565,136.78
2023,KAZ020013,Zhanybek District,17,0.224952045841871,0.3024740915402624,189.47994171277844,18.397400123462777,88.28
2024,KAZ020001,Akzhaik District,14,0.00312685584892543,0.32928205776713226,144.44643528636811,19.071873475504795,236.22
2024,KAZ020002,Bokey Orda District,14,0.383876431254258,0.2502965558667204,137.48145671835115,20.008277380786932,158.32
2024,KAZ020005,Kaztal District,14,0.211375351510441,0.3065052754769236,154.44293699605743,19.13357665358267,236.3
2024,KAZ020012,Zhanakala District,14,0.0862828352885695,0.27376770726329436,142.26508373829023,19.77291058488399,156.2842
2024,KAZ020013,Zhanybek District,14,0.315338526097806,0.294516517377903,176.46936130622936,19.294429899944586,109.2
